"","feature","views"
"123","tag_ARTIFICIAL.INTELLIGENCE",0.0434353601779923
"124","tag_CROWDSOURCING",0.0443018112108533
"125","tag_REPORTING.COMPLIANCE",0.0443287606739447
"126","word_money",0.0443707161692905
"127","tag_BUY.SIDE",-0.0453405679723697
"128","word_onlin",-0.0454896065668252
"129","tag_TRADE.EXECUTION",0.0458205624098975
"130","word_two",0.046789163987616
"131","word_exchang",-0.0471976057922317
"132","tag_ALGORITHMIC.TRADING",-0.0473338364062256
"133","word_regulatori",0.0476251627066098
"134","word_innov",0.0484940662558018
"135","tag_PAYMENTS",0.0485899169057815
"136","word_european",0.0486593815807074
"137","word_branch",-0.0495494929199999
"138","word_oper",0.0496285237788081
"139","word_product",0.049734480956946
"140","word_help",0.0503160542724337
"141","tag_RECONCILIATION",0.0506210320488404
"142","word_client",0.0521391237872807
"143","word_also",0.0527543596170593
"144","word_system",0.0544747072818735
"145","word_year",0.054941622544001
"146","word_applic",0.0549957340214934
"147","tag_AUTOMATED.TELLER.MACHINES.AND.NETWORK.SERVICES.",-0.0561190928291284
"148","tag_SEPA",0.0561447332242468
"149","word_across",0.0562220887728618
"150","word_now",0.056273775178295
"151","tag_LEGAL",-0.057205271338833
"152","tag_OPEN.APIS",0.058488520664147
"153","word_work",0.0590649516621715
"154","tag_START.UPS",0.0591732766900121
"155","word_consum",-0.06039588894288
"156","word_need",0.0604614188513014
"157","word_invest",0.0623246880696692
"158","word_one",-0.0628382929079479
"159","word_initi",0.0642618095563007
"160","word_will",0.0649482074223
"161","word_ceo",-0.0655273260091727
"162","Wednesday",-0.0663867412885013
"163","word_look",0.0665129555677582
"164","tag_RESEARCH.ANALYSIS",0.0671269180216967
"165","word_potenti",0.0675655295059582
"166","word_move",-0.0682531144224441
"167","word_execut",0.068881597706316
"168","word_offer",-0.0689117291912909
"169","tag_DEPOSITORIES",-0.0706251193630329
"170","word_way",0.0713980484523519
"171","word_industri",0.0720535569058399
"172","tag_SUPPLY.CHAIN.FINANCE",0.0728941784799747
"173","word_first",0.0742692923078524
"174","tag_POST.TRADE...OPS",0.0747309376360416
"175","word_world",0.0767963946829278
"176","word_can",0.0786104765925438
"177","word_set",0.0797454042052998
"178","word_partner",0.0812823580732331
"179","word_share",0.0819945828640177
"180","word_ventur",0.0821825596180159
"181","word_financi",0.0829131530338767
"182","word_tech",0.0847961848975623
"183","word_platform",0.0848205247277384
"184","word_financ",0.0866130072066174
"185","word_head",0.0881604965419776
"186","word_million",-0.0893411731950031
"187","word_servic",0.0901322480746162
"188","word_sector",0.0909749080453165
"189","word_creat",0.0913337842977167
"190","tag_MERGERS.AND.ACQUISITIONS",-0.0915308348074023
"191","word_startup",0.0932917650152072
"192","tag_FINDEX",-0.0935607804995823
"193","word_risk",0.0935986375202248
"194","word_well",0.0965264015064123
"195","word_process",0.096929480614377
"196","tag_FIXED.INCOME.AND.OTC.DERIVATIVES",-0.0984953273313316
"197","word_data",0.098569228422232
"198","word_take",0.101697612731604
"199","word_use",0.101801546127592
"200","word_chang",0.102069307528579
"201","word_payment",0.102862997933548
"202","Friday",0.103480272916971
"203","word_like",0.104890355743362
"204","word_make",0.105974360328042
"205","tag_ROBO.ADVISOR",0.107732160445291
"206","word_transact",0.1106977357233
"207","word_collabor",0.112230253597314
"208","word_technolog",0.113755184100076
"209","word_build",0.117554671764829
"210","word_time",0.117572851982958
"211","word_see",0.121977685694995
"212","word_digit",0.123858089908384
"213","tag_TRADE.FINANCE",0.131984720883509
"214","word_fintech",0.132974660357399
"215","word_global",0.144496722977296
"216","tag_WHOLESALE.BANKING",0.151135306112472
"217","word_bank",0.155063170281873
"218","word_blockchain",0.206525676158642
"219","tag_BLOCKCHAIN",0.241892901730413
"220","tag_TRANSACTION.BANKING",0.244379323352211
"221","tag_BASEL",NA
"222","tag_PHISHING",NA
"223","Sunday",NA
"224","Saturday",NA
